graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG13,LightGBM,105,19,True,3,0.8096296296296297,0.626884071869771,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.1460064660496098
DLG13,LineageDetector,105,19,True,3,0.7837566844919786,0.6401856399811557,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.09966274876574571
DLG14,degree_anomaly,22,8,True,3,0.7294117647058824,0.6130735930735931,0.6,0.6,0.6,0.19942366548928875
DLG14,boundary,22,8,True,3,0.8,0.8454545454545455,0.8,0.8,0.8,1.0
DLG14,low_job_connectivity,22,8,True,3,0.8,0.8454545454545455,0.8,0.8,0.8,0.2133838383838384
DLG14,completeness,22,8,True,3,0.38235294117647056,0.22727272727272727,0.0,0.0,0.0,0.2878787878787879
DLG14,rule_root,22,8,True,3,0.45882352941176474,0.21387559808612439,0.0,0.0,0.0,0.7272727272727273
DLG14,RandomForest,22,8,True,3,0.9647058823529412,0.925,0.8,0.8,0.8,0.11821527200287751
DLG14,RUSBoost,22,8,True,3,0.9,0.8454545454545455,0.8,0.8,0.8,0.04996034182725065
DLG14,LightGBM,22,8,True,3,0.8470588235294119,0.8555555555555556,0.8,0.8,0.8,0.0665141954535084
DLG14,LineageDetector,22,8,True,3,0.9529411764705882,0.9111111111111111,0.8,0.8,0.8,0.04528945190232376
DLG15,degree_anomaly,25,3,False,3,0.615,0.13247863247863248,0.0,0.0,0.0,0.08183700078272142
DLG15,boundary,25,3,False,3,0.45,0.18545454545454548,0.0,0.0,0.0,0.88
DLG15,low_job_connectivity,25,3,False,3,0.4600000000000001,0.19238095238095237,0.0,0.0,0.0,0.23632716049382715
DLG15,completeness,25,3,False,3,0.41304347826086957,0.08,0.0,0.0,0.0,0.13333333333333333
DLG15,rule_root,25,3,False,3,0.3804347826086957,0.06777777777777777,0.0,0.0,0.0,0.72
DLG15,RandomForest,25,3,False,3,0.5217391304347826,0.54,0.5,0.5,0.5,0.13465433089957246
DLG15,RUSBoost,25,3,False,3,0.5,0.2,0.0,0.0,0.0,0.07765278657984956
DLG15,LightGBM,25,3,False,3,0.74,0.5434782608695652,0.5,0.5,0.5,0.15709694262071872
DLG15,LineageDetector,25,3,False,3,0.87,0.5935897435897435,0.6,0.6,0.6,0.0835516711560357
DLG16,degree_anomaly,259,55,True,3,0.4846470771144279,0.2580060372429241,0.26865671641791045,0.26865671641791045,0.26865671641791045,0.18159165575675462
DLG16,boundary,259,55,True,3,0.6185185185185185,0.39476411391465427,0.3695652173913043,0.3695652173913043,0.3695652173913043,0.6216216216216216
DLG16,low_job_connectivity,259,55,True,3,0.5179628495611349,0.3678971691828116,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.19719411053766672
