graph,scenario,nodes,train_pos,val_pos,test_pos,algorithm,n_runs,reliable,auc_roc,auc_pr,hits_at_k,precision,recall,f1,threshold
DLG6,C,13840,1013,253,177,ppr,5,True,0.586262993818294,0.19203693894599136,0.0,0.0,0.0,0.0,
DLG6,C,13840,1013,253,177,RandomForest,5,True,0.47495291902071557,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG6,C,13840,1013,253,177,RUSBoost,5,True,0.2397443263430049,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG6,C,13840,1013,253,177,LightGBM,5,True,0.5254758636832754,0.1881840298528488,0.0,0.11839234241831646,0.11487758945386066,0.11442802627058135,
DLG6,C,13840,1013,253,177,Node2Vec+MLP,5,True,0.48022705267749793,0.1671077927206542,0.06666666666666667,0.15168877292164964,0.060263653483992465,0.08753866107951709,
DLG7,A,574,26,6,11,preferential_attachment,5,True,0.4473829201101928,0.23825411945635042,0.20000000000000004,0.1623931623931624,0.12121212121212122,0.13398692810457516,
DLG7,A,574,26,6,11,l3,5,True,0.4818181818181818,0.16666666666666666,0.8333333333333334,0.05555555555555555,0.3333333333333333,0.09523809523809523,
DLG7,A,574,26,6,11,katz,5,True,0.4772727272727273,0.16666666666666666,0.7999999999999999,0.1111111111111111,0.6666666666666666,0.19047619047619047,
DLG7,A,574,26,6,11,ppr,5,True,0.2457300275482094,0.12524080361797083,0.0,0.03809523809523809,0.12121212121212122,0.057971014492753624,
DLG7,A,574,26,6,11,RandomForest,5,True,0.48016528925619834,0.16835016835016833,0.39999999999999997,0.1111111111111111,0.393939393939394,0.1619047619047619,
DLG7,A,574,26,6,11,RUSBoost,5,True,0.43305785123966944,0.1555378344852029,0.20000000000000004,0.06842105263157895,0.12121212121212122,0.08745519713261647,
DLG7,A,574,26,6,11,LightGBM,5,True,0.25867768595041324,0.1451111847293883,0.03333333333333333,0.023809523809523808,0.06060606060606061,0.03773584905660377,
DLG7,A,574,26,6,11,Node2Vec+MLP,5,True,0.38595041322314044,0.14954783734236168,0.13333333333333333,0.09111721611721613,0.12121212121212122,0.10382716049382716,
DLG7,B,574,31,8,4,preferential_attachment,5,False,0.9770833333333333,0.9111111111111111,1.0,0.5111111111111111,0.8333333333333334,0.5396825396825397,
DLG7,B,574,31,8,4,l3,5,False,0.44166666666666665,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG7,B,574,31,8,4,katz,5,False,0.4083333333333334,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG7,B,574,31,8,4,ppr,5,False,0.32916666666666666,0.20415200268141445,0.0,0.16666666666666666,1.0,0.2857142857142857,
DLG7,B,574,31,8,4,RandomForest,5,False,0.63125,0.25912698412698415,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG7,B,574,31,8,4,RUSBoost,5,False,0.6375,0.22291021671826625,1.0,0.1812865497076023,1.0,0.3064182194616977,
DLG7,B,574,31,8,4,LightGBM,5,False,0.8083333333333335,0.4145622895622896,0.9166666666666666,0.26190476190476186,0.9166666666666666,0.3972323972323972,
DLG7,B,574,31,8,4,Node2Vec+MLP,5,False,0.7687499999999999,0.3574194324194324,0.8333333333333334,0.1741326306543698,1.0,0.29656762990096325,
