graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG17,low_job_connectivity,25,7,True,3,0.5087719298245614,0.46866161616161617,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG17,RandomForest,25,7,True,3,0.8421052631578948,0.8019047619047618,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG17,RUSBoost,25,7,True,3,0.6666666666666666,0.4933333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG17,LightGBM,25,7,True,3,0.7105263157894737,0.7242424242424242,0.625,0.625,0.625
DLG18,degree_anomaly,643,234,True,3,0.472294440921581,0.3626812804094106,0.35964912280701755,0.35964912280701755,0.35964912280701755
DLG18,boundary,643,234,True,3,0.608397807865893,0.5116205495594871,0.4094488188976378,0.4094488188976378,0.4094488188976378
DLG18,low_job_connectivity,643,234,True,3,0.5410219826675122,0.4942520005578981,0.4517543859649123,0.4517543859649123,0.4517543859649123
DLG18,RandomForest,643,234,True,3,0.8076410906785035,0.7661889370242028,0.65748031496063,0.65748031496063,0.65748031496063
DLG18,RUSBoost,643,234,True,3,0.6090909090909091,0.48567793015693483,0.4090909090909091,0.4090909090909091,0.4090909090909091
DLG18,LightGBM,643,234,True,3,0.7597548087085182,0.7409295837766398,0.6614173228346457,0.6614173228346457,0.6614173228346457
